srno,Sowing_Time,Region,Min_Temp,Max_Temp,Soil_pH,Soil_Type,Min_Rainfall,Max_Rainfall,Rainfall,Temperature,Crop
0,june,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
1,july,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
2,january,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
3,february,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
4,march,andhra pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
5,june,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
6,july,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
7,february,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
8,january,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
9,february,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
10,march,gujrat,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
11,june,haryana,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
12,july,haryana,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
13,july,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
14,august,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
15,september,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
16,january,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
17,february,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
18,march,karnataka,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
19,june,madhya pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
20,july,madhya pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
21,june,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
22,july,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
23,january,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
24,february,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
25,march,maharashtra,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
26,june,odisha,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
27,july,odisha,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
28,june,rajasthan,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
29,july,rajasthan,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
30,june,uttar pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
31,july,uttar pradesh,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
32,october,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
33,january,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
34,february,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
35,march,tamil nadu,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
36,january,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
37,february,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
38,june,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
39,july,punjab,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
40,january,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
41,february,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
42,june,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
43,july,delhi,20,31,6,black cotton soil,25,60,42.5,25.5,bajra
44,november,rajasthan,12,32,7.5,loamy soil,25,55,40,22,barley
45,december,rajasthan,12,32,7.5,loamy soil,25,55,40,22,barley
46,september,uttar pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
47,october,uttar pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
48,september,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
49,october,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
50,november,madhya pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
51,november,haryana,12,32,7.5,loamy soil,25,55,40,22,barley
52,december,haryana,12,32,7.5,loamy soil,25,55,40,22,barley
53,november,punjab,12,32,7.5,loamy soil,25,55,40,22,barley
54,december,punjab,12,32,7.5,loamy soil,25,55,40,22,barley
55,september,west bengal,12,32,7.5,loamy soil,25,55,40,22,barley
56,october,west bengal,12,32,7.5,loamy soil,25,55,40,22,barley
57,september,bihar,12,32,7.5,loamy soil,25,55,40,22,barley
58,october,bihar,12,32,7.5,loamy soil,25,55,40,22,barley
59,october,jammu kashmir,12,32,7.5,loamy soil,25,55,40,22,barley
60,november,jammu kashmir,12,32,7.5,loamy soil,25,55,40,22,barley
61,october,uttarakhand,12,32,7.5,loamy soil,25,55,40,22,barley
62,november,uttarakhand,12,32,7.5,loamy soil,25,55,40,22,barley
63,april,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
64,may,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
65,october,himachal pradesh,12,32,7.5,loamy soil,25,55,40,22,barley
66,may,north india,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
67,june,north india,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
68,may,north india,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
69,june,north india,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
70,may,north india,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
71,june,north india,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
72,may,north india,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
73,june,north india,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
74,may,maharashtra,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
75,june,maharashtra,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
76,may,maharashtra,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
77,june,maharashtra,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
78,may,maharashtra,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
79,june,maharashtra,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
80,may,maharashtra,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
81,june,maharashtra,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
82,may,karnataka,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
83,june,karnataka,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
84,may,karnataka,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
85,june,karnataka,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
86,may,karnataka,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
87,june,karnataka,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
88,may,karnataka,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
89,june,karnataka,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
90,may,andhra pradesh,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
91,june,andhra pradesh,20,30,6.4,red soil,25,55,40,25,blackeyedbeans
92,may,andhra pradesh,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
93,june,andhra pradesh,20,30,6.4,black cotton soil,25,55,40,25,blackeyedbeans
94,may,andhra pradesh,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
95,june,andhra pradesh,20,30,6.4,laterite soil,25,55,40,25,blackeyedbeans
96,may,andhra pradesh,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
97,june,andhra pradesh,20,30,6.4,sandy soil,25,55,40,25,blackeyedbeans
98,june,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
99,july,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
100,october,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
101,november,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
102,december,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
103,january,andhra pradesh,25,35,7,black cotton soil,60,75,67.5,30,blackgram
104,august,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
105,september,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
106,october,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
107,november,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
108,december,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
109,february,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
110,march,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
111,april,assam,25,35,7,black cotton soil,60,75,67.5,30,blackgram
112,may,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
113,june,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
114,july,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
115,august,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
116,october,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
117,november,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
118,february,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
119,march,karnataka,25,35,7,black cotton soil,60,75,67.5,30,blackgram
120,march,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
121,april,kerala,25,35,7,black cotton soil,60,75,67.5,30,blackgram
